"filename", "language", "HTML", "JSON", "JSON with Comments", "JavaScript", "Markdown", "CSS", "Vue", "SCSS", "comment", "blank", "total"
"c:\Users\ertao\github前端项目\movie-website\movie-website\.prettierrc.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\ertao\github前端项目\movie-website\movie-website\README.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 0, 0, 14, 36
"c:\Users\ertao\github前端项目\movie-website\movie-website\eslint.config.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\ertao\github前端项目\movie-website\movie-website\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\ertao\github前端项目\movie-website\movie-website\jsconfig.json", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\ertao\github前端项目\movie-website\movie-website\package-lock.json", "JSON", 0, 3963, 0, 0, 0, 0, 0, 0, 0, 1, 3964
"c:\Users\ertao\github前端项目\movie-website\movie-website\package.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 7, 0, 0, 5, 12
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\api\movie.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 7, 25
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\api\user.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 9, 8, 57
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\assets\font\font.css", "CSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\assets\icons\iconfont.css", "CSS", 0, 0, 0, 0, 0, 58, 0, 0, 1, 15, 74
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\assets\icons\iconfont.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\assets\icons\iconfont.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\components\FilmList.vue", "Vue", 0, 0, 0, 0, 0, 0, 33, 0, 0, 6, 39
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\components\FilmShortening.vue", "Vue", 0, 0, 0, 0, 0, 0, 135, 0, 0, 29, 164
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\components\LoginBox.vue", "Vue", 0, 0, 0, 0, 0, 0, 107, 0, 0, 10, 117
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\components\ModifyCard.vue", "Vue", 0, 0, 0, 0, 0, 0, 116, 0, 33, 19, 168
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\components\SearchBox.vue", "Vue", 0, 0, 0, 0, 0, 0, 94, 0, 2, 13, 109
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\components\TagComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 44, 0, 0, 6, 50
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\components\ToastComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 68, 0, 3, 13, 84
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\components\UserProfileCard.vue", "Vue", 0, 0, 0, 0, 0, 0, 116, 0, 0, 10, 126
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\main.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 6, 17
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\router\index.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 3, 57
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\stores\styleState.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\stores\user.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 2, 8, 46
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\styles\index.css", "CSS", 0, 0, 0, 0, 0, 63, 0, 0, 10, 12, 85
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\styles\index.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\styles\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 11, 0, 3, 14
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\styles\reset.css", "CSS", 0, 0, 0, 0, 0, 53, 0, 0, 10, 9, 72
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\styles\reset.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\styles\reset.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 53, 10, 10, 73
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\styles\variable.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 15, 10, 10, 35
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\utils\canvasStar.js", "JavaScript", 0, 0, 0, 90, 0, 0, 0, 0, 19, 18, 127
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\utils\request.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 0, 8, 7, 41
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\FooterComponent\FooterComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\HomeView.vue", "Vue", 0, 0, 0, 0, 0, 0, 83, 0, 17, 21, 121
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\NavigationBar\NavigationBar.vue", "Vue", 0, 0, 0, 0, 0, 0, 37, 0, 0, 5, 42
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\NavigationBar\SubComponents\BackHomeButton.vue", "Vue", 0, 0, 0, 0, 0, 0, 58, 0, 0, 7, 65
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\NavigationBar\SubComponents\ConsoleButton.vue", "Vue", 0, 0, 0, 0, 0, 0, 37, 0, 0, 4, 41
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\NavigationBar\SubComponents\RandomPageButton.vue", "Vue", 0, 0, 0, 0, 0, 0, 32, 0, 0, 5, 37
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\NavigationBar\SubComponents\SearchButton.vue", "Vue", 0, 0, 0, 0, 0, 0, 35, 0, 0, 4, 39
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\NavigationBar\SubComponents\UserButton.vue", "Vue", 0, 0, 0, 0, 0, 0, 37, 0, 0, 5, 42
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\SubViews\ActorProfileView\ActorProfileView.vue", "Vue", 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\SubViews\MovieDetailView\MovieDetailView.vue", "Vue", 0, 0, 0, 0, 0, 0, 137, 0, 0, 19, 156
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\SubViews\MoviePlayerView\MoviePlayerView.vue", "Vue", 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\SubViews\MoviePushView\MoviePushView.vue", "Vue", 0, 0, 0, 0, 0, 0, 114, 0, 0, 10, 124
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\SubViews\MoviePushView\SubComponents\CategoryButton.vue", "Vue", 0, 0, 0, 0, 0, 0, 55, 0, 0, 11, 66
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\SubViews\MoviePushView\SubComponents\ExplainCard.vue", "Vue", 0, 0, 0, 0, 0, 0, 99, 0, 0, 12, 111
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\SubViews\MoviePushView\SubComponents\ForumButton.vue", "Vue", 0, 0, 0, 0, 0, 0, 48, 0, 0, 12, 60
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\SubViews\MoviePushView\SubComponents\MessageButton.vue", "Vue", 0, 0, 0, 0, 0, 0, 48, 0, 0, 12, 60
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\SubViews\MoviePushView\SubComponents\RankingBox.vue", "Vue", 0, 0, 0, 0, 0, 0, 24, 0, 0, 3, 27
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\SubViews\MoviePushView\SubComponents\WelcomCard.vue", "Vue", 0, 0, 0, 0, 0, 0, 77, 0, 0, 9, 86
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\SubViews\TagCorrelation\TagCorrelation.vue", "Vue", 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\SubViews\TagDisplayView\TagDisplayView.vue", "Vue", 0, 0, 0, 0, 0, 0, 47, 0, 0, 5, 52
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\SubViews\UserFavoritesView\UserFavoritesView.vue", "Vue", 0, 0, 0, 0, 0, 0, 8, 0, 0, 6, 14
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\HomeView\SubViews\UserFollowListView\UserFollowListView.vue", "Vue", 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"c:\Users\ertao\github前端项目\movie-website\movie-website\src\views\NotFoundView\NotFoundView.vue", "Vue", 0, 0, 0, 0, 0, 0, 8, 0, 0, 6, 14
"c:\Users\ertao\github前端项目\movie-website\movie-website\vite.config.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 2, 3, 24
"Total", "-", 13, 4014, 8, 341, 22, 180, 1749, 79, 136, 443, 6985
